data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
100,"((13, 13), 10, 1.2)","(13, 13)",10,1.2,0.893300248,0.9,0.886699507,0.8925
100,"((13, 13), 10, 1.5)","(13, 13)",10,1.5,0.915,0.915,0.915,0.915
100,"((13, 13), 10, 2)","(13, 13)",10,2,0.947890819,0.955,0.9408867,0.9475
100,"((13, 13), 10, 2.3)","(13, 13)",10,2.3,0.933002481,0.94,0.926108374,0.9325
100,"((13, 13), 10, 2.5)","(13, 13)",10,2.5,0.915662651,0.95,0.88372093,0.9125
100,"((13, 13), 15, 0.2)","(13, 13)",15,0.2,0.80104712,0.765,0.840659341,0.81
100,"((13, 13), 15, 0.5)","(13, 13)",15,0.5,0.8,0.73,0.884848485,0.8175
100,"((13, 13), 15, 1)","(13, 13)",15,1,0.874680307,0.855,0.895287958,0.8775
100,"((13, 13), 15, 1.2)","(13, 13)",15,1.2,0.8956743,0.88,0.911917098,0.8975
100,"((13, 13), 15, 1.5)","(13, 13)",15,1.5,0.885416667,0.85,0.923913043,0.89
100,"((13, 13), 15, 2)","(13, 13)",15,2,0.934673367,0.93,0.939393939,0.935
100,"((13, 13), 15, 2.3)","(13, 13)",15,2.3,0.922693267,0.925,0.92039801,0.9225
100,"((13, 13), 15, 2.5)","(13, 13)",15,2.5,0.914141414,0.905,0.923469388,0.915
100,"((13, 13), 20, 0.2)","(13, 13)",20,0.2,0.824146982,0.785,0.867403315,0.8325
100,"((13, 13), 20, 0.5)","(13, 13)",20,0.5,0.875647668,0.845,0.908602151,0.88
100,"((13, 13), 20, 1)","(13, 13)",20,1,0.910485934,0.89,0.931937173,0.9125
100,"((13, 13), 20, 1.2)","(13, 13)",20,1.2,0.918367347,0.9,0.9375,0.92
100,"((13, 13), 20, 1.5)","(13, 13)",20,1.5,0.931989924,0.925,0.939086294,0.9325
100,"((13, 13), 20, 2)","(13, 13)",20,2,0.939698492,0.935,0.944444444,0.94
100,"((13, 13), 20, 2.3)","(13, 13)",20,2.3,0.945,0.945,0.945,0.945
100,"((13, 13), 20, 2.5)","(13, 13)",20,2.5,0.95049505,0.96,0.941176471,0.95
100,"((13, 13), 25, 0.2)","(13, 13)",25,0.2,0.920212766,0.865,0.982954545,0.925
